"word","zRTMean_related","zRTMean_unrelated","en_cosine_related","en_cosine_unrelated","zRT_Priming_Effect","RelatedCos","DifferenceCos","A.RelatedPrompt","A.DifferencePrompt","Fb.RelatedPrompt","Fb.DifferencePrompt"
"abandon",0.142755190268854,0.295661682079027,0.542610126494458,0.110991555318052,0.152906491810173,0.509579694183293,0.207927368591181,0.793,0.6305,0.7675,0.7115
"abdominal",0.671109802062107,0.957232765777648,0.504819409643462,0.0953806807343889,0.286122963715541,0.43301381699205,0.234722480295718,0.726,0.5135,0.684,0.528
"abduct",0.42383656364541,0.668225614397694,0.746008330250351,0.126484228864404,0.244389050752284,0.718414741525057,0.515106595745218,0.9165,0.904,1,1
"ability",-0.144393092786465,-0.103016091517758,0.554707506584609,0.122082483676724,0.0413770012687066,0.562289548132131,0.329040598479353,0.7395,0.577,0.777,0.677
"about",-0.465462188317725,-0.318139197189184,0.230926408087315,0.140921114394352,0.14732299112854,0.61437439295613,0.327328595116497,0.23,0.23,0,0
"absence",-0.0182859597909517,0.15502494360093,0.508694231661509,0.0989025613907968,0.173310903391882,0.462665183852078,0.353115771740106,0.8755,0.8655,0.825,0.825
"absurd",0.231720688681165,0.56611520318082,0.769056431328342,0.148460992087759,0.334394514499655,0.610367985020035,0.393990418892426,0.8625,0.784,0.8925,0.8425
"accent",-0.186652917724302,0.0805240151383346,0.44914610100131,0.142536142302864,0.267176932862636,0.459564250691627,0.219880487411599,0.747,0.702,0.75,0.6775
"accept",-0.403527501858407,-0.489041962641666,0.583660362421915,0.086238378679306,-0.085514460783259,0.419931774308762,0.153245949386746,0.2125,0.1125,0.1,0.1
"accident",-0.329333993706211,-0.255017079451785,0.631125350630142,0.0432930836673042,0.0743169142544255,0.590395208468349,0.279494172707533,0.8595,0.7395,0.896,0.796
"accompany",0.301384955321929,0.178251368171819,0.630246930489004,0.142725725886417,-0.12313358715011,0.463687309866835,0.201508957751626,0.741,0.616,0.7085,0.7085
"accusation",0.78719701852578,0.695850737031492,0.458783130186421,0.120296449176828,-0.091346281494287,0.576315786266093,0.370898374171111,0.754,0.6195,0.768,0.662
"act",-0.236429774875436,-0.309417506184299,0.305815951349428,0.0822815018631909,-0.0729877313088627,0.500240281768442,0.218745480792931,0.718,0.5115,0.7285,0.5975
"activate",-0.157206788289727,-0.00818146509652029,0.518282899690891,0.128384040421958,0.149025323193207,0.597658883342217,0.306842897332815,0.7575,0.548,0.2125,0.1055
"activity",-0.314357898001248,-0.201865639597667,0.544325656866643,0.112730297022226,0.112492258403582,0.580044470798946,0.399883005025839,0.8,0.5755,0.768,0.568
"actor",-0.245645814625797,-0.241169420759865,0.405272103538622,0.141929923436465,0.0044763938659316,0.561216155047633,0.298377748562191,0.5885,0.421,0.5835,0.5835
"additional",-0.0879369620543344,-0.110326670599247,0.573474666004963,0.132856958598826,-0.0223897085449125,0.736291081357954,0.480144530243598,0.8625,0.7565,0.8625,0.8125
"address",-0.348712188638213,-0.305599605811252,0.418242668574378,0.0794321434980483,0.0431125828269611,0.421334942392425,0.170198641837292,0.274,0.072,0.2075,0.0515
"administrative",0.584855464043917,0.855937457136765,0.527995050321197,0.136796040660712,0.271081993092847,0.504865537387955,0.297239344333571,0.834,0.684,0.744,0.694
"adrenaline",0.509849794478114,0.718198311371307,0.568549754128862,0.146383497853612,0.208348516893193,0.443301287075062,0.241191921932301,0.8475,0.7465,0.878,0.8555
"advise",0.066505753534714,-0.0774699986132287,0.540822556393448,0.0569864967418418,-0.143975752147943,0.814856708059042,0.61085251954826,0.7875,0.6945,0.8,0.8
"agency",-0.0284276554605715,0.0828836195241327,0.468627549632636,0.109540725348367,0.111311274984704,0.464250478214746,0.202514764797514,0.662,0.4525,0.666,0.532
"agreement",-0.214676623096183,-0.100121541228749,0.667159289989691,0.122326779018062,0.114555081867434,0.530458790210622,0.342939955262321,0.864,0.718,0.882,0.8545
"airport",-0.264194551020053,-0.290470070444466,0.476352958041711,0.105916480829528,-0.026275519424413,0.402930551112542,0.197397136465083,0.8735,0.706,0.825,0.725
"alarm",-0.37912460863496,-0.237543621953556,0.507431735213287,0.110076879151205,0.141580986681405,0.760711008578922,0.545275043127168,0.8485,0.666,0.8,0.6815
"alibi",1.06941124520538,1.20464452331099,0.558725989164807,0.146124061726183,0.13523327810561,0.244720247938002,0.00315457547480802,0.6505,0.4205,0.717,0.561
"alien",0.480059750697483,-0.000691511912552698,0.408397551901977,0.0747095238449636,-0.480751262610036,0.447246335799018,0.239039103689384,0.85,0.7675,0.811,0.736
