"pair","type","mean_cosine_similarity","mean_prompt_similarity"
"paradise-father","unrelated",0.252648176757363,0.2
"spring-autumn","related",0.463682794462271,0.782
"fidelity-devotion","related",0.55920406193121,0.873
"bridge-tunnel","related",0.449597029735116,0.775
"excellent-band","unrelated",0.237849543621858,0.185
"embassy-ministry","related",0.418993989263789,0.742
"blanket-justice","unrelated",0.2104502374626,0.0605
"stadium-baseball","related",0.366966719564316,0.791
"tattoo-minus","unrelated",0.178303838021665,0.0375
"tobacco-cigarette","related",0.621064200776838,0.925
"train-triangle","unrelated",0.376593514719629,0.1035
"lower-dusty","unrelated",0.241989211662734,0.0725
"reality-tree","unrelated",0.257295856893616,0.1125
"unreasonable-irresponsible","related",0.469470840087194,0.704
"millionaire-element","unrelated",0.226100462100103,0.118
"worm-snake","related",0.554947891568541,0.749
"double-triple","related",0.560373857957245,0.774
"article-newspaper","related",0.462984379446258,0.8285
"wind-storm","related",0.54222826998574,0.862
"tablet-fuel","unrelated",0.289113954287798,0.1185
"sunset-thank","unrelated",0.296737968325563,0.106
"queen-soda","unrelated",0.181347082754232,0.05
"detonator-timer","related",0.35943523514593,0.7635
"make-servant","unrelated",0.270821170451541,0.217
"object-comedy","unrelated",0.292899745211163,0.1825
"direct-jewel","unrelated",0.209202007867826,0.1115
"modern-plate","unrelated",0.236631398569943,0.2475
"heritage-july","unrelated",0.182924396232278,0.159
"auction-theory","unrelated",0.266949142719766,0.1625
"conclusion-assumption","related",0.426699758834107,0.649
"conversation-forest","unrelated",0.330283828749601,0.1125
"singer-musician","related",0.653420401325092,0.893
"nice-judge","unrelated",0.273005047991405,0.345
"angel-baseball","unrelated",0.205833003763549,0.0475
"stress-cat","unrelated",0.231029392615185,0.124
"impressive-murder","unrelated",0.207994961168656,0.045
"inability-missile","unrelated",0.182373789405724,0.0275
"low-confess","unrelated",0.205126331392157,0.1
"bay-loan","unrelated",0.279035241450895,0.13
"pork-departure","unrelated",0.228701403811181,0.0475
"cable-confusion","unrelated",0.190175072726117,0.11
"ass-official","unrelated",0.370577038441451,0.0575
"dvd-that","unrelated",0.265579921830113,0.075
"brutal-cruel","related",0.627105227052695,0.824
"protect-defend","related",0.595991202965775,0.846
"sensational-maintain","unrelated",0.100256699123548,0.1685
"allow-let","related",0.599634746554142,0.8645
"midnight-send","unrelated",0.220830992709845,0.13
"hunting-collapse","unrelated",0.275547013453019,0.12
"circle-lovely","unrelated",0.32849728034532,0.1275
"monk-elegant","unrelated",0.238673457564788,0.1285
"quantity-quality","related",0.501219217834073,0.7495
"prey-ugly","unrelated",0.227988071120411,0.075
"hobby-sport","related",0.479035005215665,0.7395
"underestimate-microphone","unrelated",0.185001982161033,0.05
"urgent-emergency","related",0.67299829930783,0.8585
"command-order","related",0.621302806021549,0.8535
"original-copy","related",0.423115403091694,0.808
"clan-family","related",0.457489343630772,0.845
"diamond-jewel","related",0.535569110696178,0.877
"property-owner","related",0.515955848800799,0.8425
"scare-weak","unrelated",0.315452451289913,0.2115
"medical-psychological","related",0.36174006794181,0.7535
"avenue-street","related",0.505228214683313,0.9105
"grateful-thank","related",0.513026002177094,0.8175
"impossible-easy","related",0.407089986258988,0.051
"clean-wash","related",0.578078132440083,0.851
"trust-believe","related",0.493153937393584,0.7805
"unusual-strange","related",0.722896638150382,0.8745
"loyalty-honesty","related",0.493749972454934,0.748
"producer-director","related",0.652925482334502,0.836
"anonymous-unknown","related",0.648138280939177,0.758
"lipstick-concentrate","unrelated",0.187565305666451,0.1075
"good-completely","unrelated",0.291585706455902,0.102
"royal-price","unrelated",0.294342147858033,0.372
"tired-hungry","related",0.482957506121771,0.6345
