"pair","type","mean_cosine_similarity","mean_prompt_similarity"
"paradise-father","unrelated",0.252676404424616,0.1
"spring-autumn","related",0.463693547840674,0.8
"fidelity-devotion","related",0.55920406193121,0.85
"bridge-tunnel","related",0.449567129951038,0.576
"excellent-band","unrelated",0.237818029869678,0.1275
"embassy-ministry","related",0.419031423803185,0.6705
"blanket-justice","unrelated",0.210453116555826,0.03
"stadium-baseball","related",0.366957071485264,0.713
"tattoo-minus","unrelated",0.178231430706687,0
"tobacco-cigarette","related",0.621064200776838,0.9
"train-triangle","unrelated",0.37663933526493,0.0775
"lower-dusty","unrelated",0.241966263475278,0
"reality-tree","unrelated",0.257245863759494,0.05
"unreasonable-irresponsible","related",0.469444462758645,0.7375
"millionaire-element","unrelated",0.226140144199457,0.0805
"worm-snake","related",0.554943753219846,0.6595
"double-triple","related",0.560368187900196,0.8055
"article-newspaper","related",0.46296835680957,0.75
"wind-storm","related",0.54222826998574,0.833
"tablet-fuel","unrelated",0.289113954287798,0.1
"sunset-thank","unrelated",0.29676534979835,0
"queen-soda","unrelated",0.181361502339459,0.05
"detonator-timer","related",0.35943523514593,0.697
"make-servant","unrelated",0.27085559549045,0.079
"object-comedy","unrelated",0.292942836882022,0.1185
"direct-jewel","unrelated",0.209161689236013,0.1195
"modern-plate","unrelated",0.236631398569943,0.1185
"heritage-july","unrelated",0.182871757528602,0.156
"auction-theory","unrelated",0.266894398505364,0.1165
"conclusion-assumption","related",0.42671894388644,0.668
"conversation-forest","unrelated",0.330283828749601,0.056
"singer-musician","related",0.653420401325092,0.9
"nice-judge","unrelated",0.273058422872757,0.2
"angel-baseball","unrelated",0.205876449710308,0.05
"stress-cat","unrelated",0.231047135460721,0.0475
"impressive-murder","unrelated",0.207994961168656,0
"inability-missile","unrelated",0.182382299295066,0
"low-confess","unrelated",0.205119726488396,0.05
"bay-loan","unrelated",0.278962829248179,0.075
"pork-departure","unrelated",0.228701403811181,0
"cable-confusion","unrelated",0.19012437008784,0.1
"ass-official","unrelated",0.370577038441451,0.025
"dvd-that","unrelated",0.265582072086274,0
"brutal-cruel","related",0.627131300994033,0.9
"protect-defend","related",0.595991202965775,0.825
"sensational-maintain","unrelated",0.100242606462422,0
"allow-let","related",0.599692904806484,0.9
"midnight-send","unrelated",0.220829700321183,0
"hunting-collapse","unrelated",0.275547013453019,0.1
"circle-lovely","unrelated",0.328531482752218,0
"monk-elegant","unrelated",0.238673457564788,0.112
"quantity-quality","related",0.501220747039076,0.4935
"prey-ugly","unrelated",0.228003300832305,0
"hobby-sport","related",0.479035005215665,0.746
"underestimate-microphone","unrelated",0.184962863621327,0
"urgent-emergency","related",0.673014852634852,0.9
"command-order","related",0.620745362132304,0.8095
"original-copy","related",0.423103881565428,0.7945
"clan-family","related",0.457388941537351,0.775
"diamond-jewel","related",0.535569966374542,0.875
"property-owner","related",0.515957380649603,0.8
"scare-weak","unrelated",0.315398618550175,0.175
"medical-psychological","related",0.361796156189671,0.704
"avenue-street","related",0.505254206853273,0.85
"grateful-thank","related",0.513049007313133,0.7975
"impossible-easy","related",0.407204553945092,0
"clean-wash","related",0.57804848533348,0.8115
"trust-believe","related",0.493202785696841,0.777
"unusual-strange","related",0.722913708693854,0.8115
"loyalty-honesty","related",0.493762008405116,0.6035
"producer-director","related",0.652902855332922,0.806
"anonymous-unknown","related",0.648138280939177,0.8165
"lipstick-concentrate","unrelated",0.187610534687902,0.1075
"good-completely","unrelated",0.291592332615735,0
"royal-price","unrelated",0.294375582369891,0.375
"tired-hungry","related",0.482966608636759,0.2525
"similar-different","related",0.652073610796027,0.1125
"spy-traitor","related",0.416661948211773,0.752
"grab-science","unrelated",0.222305604178231,0.05
"make-do","related",0.571449144886223,0.5
"drown-wizard","unrelated",0.176024975077078,0
"tournament-pull","unrelated",0.311460730504703,0.112
"bee-remove","unrelated",0.228186811862672,0
"credit-funeral","unrelated",0.180202694707073,0.0475
"mile-centimeter","related",0.389250558204184,0.8
"internal-external","related",0.748077499171325,0.251
"nerve-silver","unrelated",0.175055587076224,0.1
"rum-far","unrelated",0.361336025460167,0
"autograph-photographer","related",0.294673922455167,0.3105
"unusual-kill","unrelated",0.308459759978761,0.125
"monument-statue","related",0.702730956271538,0.793
"contain-content","related",0.525450473928091,0.5
"wrong-event","unrelated",0.368441554256936,0.14
"white-driver","unrelated",0.285940904121348,0.106
"sensor-crisis","unrelated",0.222291203787337,0.1
"dramatic-romantic","related",0.463657655860916,0.714
"conference-meeting","related",0.775195786762225,0.8585
"enable-provide","related",0.603698976197874,0.698
"generator-execution","unrelated",0.395310810921151,0.2235
"relative-cousin","related",0.485799420066059,0.8
"passenger-sound","unrelated",0.238501756550321,0.035
"pork-meat","related",0.497340700424583,0.875
"apply-use","related",0.611674288361794,0.8
"deserve-worthy","related",0.478422126220342,0.7465
"polite-escape","unrelated",0.247955769483763,0
"regional-local","related",0.552949502814926,0.797
"trophy-abduct","unrelated",0.203327381168926,0
"chance-dynamite","unrelated",0.267309770272283,0.1
"tear-cut","related",0.390941166892196,0.3125
"tower-building","related",0.491582659854959,0.8335
"revenge-cotton","unrelated",0.109733496824018,0
"eliminate-worker","unrelated",0.224226947495342,0
"drama-comedy","related",0.613026407986309,0.825
"ideal-song","unrelated",0.218879966147547,0.1785
"orchestra-band","related",0.426566842545583,0.8475
"pulse-pressure","related",0.613496676506802,0.627
"carnival-worthy","unrelated",0.269184860806158,0.112
"virus-infection","related",0.533802207546558,0.862
"comfortable-horse","unrelated",0.240098748612479,0.1185
"potato-guilty","unrelated",0.23979408153812,0
"regional-cake","unrelated",0.141571140810241,0.112
"orphanage-cause","unrelated",0.233888016275512,0.207
"illusion-additional","unrelated",0.256553829677301,0.05
"observation-throne","unrelated",0.283467482651477,0.1185
"country-description","unrelated",0.311873571052254,0.206
"play-fax","unrelated",0.23970675082245,0.106
"sea-episode","unrelated",0.346137716316267,0.106
