"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_Prompt","DifferenceScore_Prompt","Related_score_Prompt","Unrelated_score_Prompt"
"paradise-father","unrelated",NA,0.484448245189968,0.737096421947331,0.252648176757363,NA,0.775,0.975,0.2
"spring-autumn","related",0.463682794462271,0.234929465816596,0.463682794462271,0.228753328645675,0.782,0.663,0.782,0.119
"fidelity-devotion","related",0.55920406193121,0.38032413665812,0.55920406193121,0.17887992527309,0.873,0.8145,0.873,0.0585
"bridge-tunnel","related",0.449597029735116,0.242142828719101,0.449597029735116,0.207454201016015,0.775,0.73,0.775,0.045
"excellent-band","unrelated",NA,0.188762633761023,0.426612177382881,0.237849543621858,NA,0.641,0.826,0.185
"embassy-ministry","related",0.418993989263789,0.236946102144556,0.418993989263789,0.182047887119233,0.742,0.626,0.742,0.116
"blanket-justice","unrelated",NA,0.161006727598964,0.371456965061564,0.2104502374626,NA,0.682,0.7425,0.0605
"stadium-baseball","related",0.366966719564316,0.161133715800767,0.366966719564316,0.205833003763549,0.791,0.7435,0.791,0.0475
"tattoo-minus","unrelated",NA,0.376397618256058,0.554701456277723,0.178303838021665,NA,0.786,0.8235,0.0375
"tobacco-cigarette","related",0.621064200776838,0.386922442538083,0.621064200776838,0.234141758238755,0.925,0.895,0.925,0.03
"train-triangle","unrelated",NA,0.260376992090885,0.636970506810514,0.376593514719629,NA,0.555,0.6585,0.1035
"lower-dusty","unrelated",NA,0.333457755011088,0.575446966673822,0.241989211662734,NA,0.3745,0.447,0.0725
"reality-tree","unrelated",NA,0.068044406839172,0.325340263732788,0.257295856893616,NA,0.6815,0.794,0.1125
"unreasonable-irresponsible","related",0.469470840087194,0.290070049432606,0.469470840087194,0.179400790654588,0.704,0.704,0.704,0
"millionaire-element","unrelated",NA,0.35979475937169,0.585895221471793,0.226100462100103,NA,0.6405,0.7585,0.118
"worm-snake","related",0.554947891568541,0.308409940185821,0.554947891568541,0.24653795138272,0.749,0.719,0.749,0.03
"double-triple","related",0.560373857957245,0.343160481987947,0.560373857957245,0.217213375969298,0.774,0.6115,0.774,0.1625
"article-newspaper","related",0.462984379446258,0.280556624346866,0.462984379446258,0.182427755099392,0.8285,0.6935,0.8285,0.135
"wind-storm","related",0.54222826998574,0.31304609469821,0.54222826998574,0.22918217528753,0.862,0.7945,0.862,0.0675
"tablet-fuel","unrelated",NA,0.30712088976639,0.596234844054188,0.289113954287798,NA,0.7795,0.898,0.1185
"sunset-thank","unrelated",NA,0.216288033851531,0.513026002177094,0.296737968325563,NA,0.7115,0.8175,0.106
"queen-soda","unrelated",NA,0.317387407051233,0.498734489805465,0.181347082754232,NA,0.7185,0.7685,0.05
"detonator-timer","related",0.35943523514593,0.123064994597169,0.35943523514593,0.236370240548761,0.7635,0.6635,0.7635,0.1
"make-servant","unrelated",NA,0.326114068096471,0.596935238548012,0.270821170451541,NA,0.503,0.72,0.217
"object-comedy","unrelated",NA,0.320159263430829,0.613059008641992,0.292899745211163,NA,0.6625,0.845,0.1825
"direct-jewel","unrelated",NA,0.326367102828352,0.535569110696178,0.209202007867826,NA,0.7655,0.877,0.1115
"modern-plate","unrelated",NA,0.171227647639016,0.407859046208959,0.236631398569943,NA,0.6,0.8475,0.2475
"heritage-july","unrelated",NA,0.561537028694904,0.744461424927182,0.182924396232278,NA,0.694,0.853,0.159
"auction-theory","unrelated",NA,0.332619323693651,0.599568466413417,0.266949142719766,NA,0.6745,0.837,0.1625
"conclusion-assumption","related",0.426699758834107,0.144563353024731,0.426699758834107,0.282136405809376,0.649,0.537,0.649,0.112
"conversation-forest","unrelated",NA,0.154426321804957,0.484710150554558,0.330283828749601,NA,0.7695,0.882,0.1125
"singer-musician","related",0.653420401325092,0.417762842651627,0.653420401325092,0.235657558673465,0.893,0.7275,0.893,0.1655
"nice-judge","unrelated",NA,0.204847775759057,0.477852823750462,0.273005047991405,NA,0.5215,0.8665,0.345
"angel-baseball","unrelated",NA,0.161133715800767,0.366966719564316,0.205833003763549,NA,0.7435,0.791,0.0475
"stress-cat","unrelated",NA,0.37156941231094,0.602598804926125,0.231029392615185,NA,0.7875,0.9115,0.124
"impressive-murder","unrelated",NA,0.294006901035071,0.502001862203727,0.207994961168656,NA,0.701,0.746,0.045
"inability-missile","unrelated",NA,0.281210523680449,0.463584313086173,0.182373789405724,NA,0.8475,0.875,0.0275
"low-confess","unrelated",NA,0.466251003441378,0.671377334833535,0.205126331392157,NA,0.727,0.827,0.1
"bay-loan","unrelated",NA,0.230899118137254,0.509934359588149,0.279035241450895,NA,0.7635,0.8935,0.13
"pork-departure","unrelated",NA,0.376521634387947,0.605223038199128,0.228701403811181,NA,0.837,0.8845,0.0475
"cable-confusion","unrelated",NA,0.36460889977262,0.554783972498737,0.190175072726117,NA,0.758,0.868,0.11
"ass-official","unrelated",NA,0.299658890606535,0.670235929047986,0.370577038441451,NA,0.6995,0.757,0.0575
"dvd-that","unrelated",NA,0.386041388172073,0.651621310002186,0.265579921830113,NA,0.4585,0.5335,0.075
"brutal-cruel","related",0.627105227052695,0.431124300198737,0.627105227052695,0.195980926853958,0.824,0.7515,0.824,0.0725
"protect-defend","related",0.595991202965775,0.30587358269791,0.595991202965775,0.290117620267865,0.846,0.6835,0.846,0.1625
"sensational-maintain","unrelated",NA,0.488234562746203,0.588491261869751,0.100256699123548,NA,0.4215,0.59,0.1685
"allow-let","related",0.599634746554142,0.125052112066506,0.599634746554142,0.474582634487636,0.8645,0.742,0.8645,0.1225
"midnight-send","unrelated",NA,0.308026660373916,0.528857653083761,0.220830992709845,NA,0.647,0.777,0.13
"hunting-collapse","unrelated",NA,0.366634907751213,0.642181921204232,0.275547013453019,NA,0.6225,0.7425,0.12
"circle-lovely","unrelated",NA,0.142001210371549,0.470498490716869,0.32849728034532,NA,0.7065,0.834,0.1275
