"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_Prompt","DifferenceScore_Prompt","Related_score_Prompt","Unrelated_score_Prompt"
"paradise-father","unrelated",NA,0.484458036663902,0.737134441088518,0.252676404424616,NA,0.9,1,0.1
"spring-autumn","related",0.463693547840674,0.234929001916861,0.463693547840674,0.228764545923813,0.8,0.688,0.8,0.112
"fidelity-devotion","related",0.55920406193121,0.380312565648453,0.55920406193121,0.178891496282757,0.85,0.774,0.85,0.076
"bridge-tunnel","related",0.449567129951038,0.242091696554711,0.449567129951038,0.207475433396327,0.576,0.501,0.576,0.075
"excellent-band","unrelated",NA,0.188748812675905,0.426566842545583,0.237818029869678,NA,0.72,0.8475,0.1275
"embassy-ministry","related",0.419031423803185,0.236925418094056,0.419031423803185,0.182106005709129,0.6705,0.561,0.6705,0.1095
"blanket-justice","unrelated",NA,0.161066024729004,0.37151914128483,0.210453116555826,NA,0.7715,0.8015,0.03
"stadium-baseball","related",0.366957071485264,0.161080621774956,0.366957071485264,0.205876449710308,0.713,0.663,0.713,0.05
"tattoo-minus","unrelated",NA,0.376470025571036,0.554701456277723,0.178231430706687,NA,0.65,0.65,0
"tobacco-cigarette","related",0.621064200776838,0.386918942942357,0.621064200776838,0.234145257834481,0.9,0.9,0.9,0
"train-triangle","unrelated",NA,0.260339178675559,0.636978513940489,0.37663933526493,NA,0.538,0.6155,0.0775
"lower-dusty","unrelated",NA,0.333480703198544,0.575446966673822,0.241966263475278,NA,0.5835,0.5835,0
"reality-tree","unrelated",NA,0.068082813403316,0.32532867716281,0.257245863759494,NA,0.75,0.8,0.05
"unreasonable-irresponsible","related",0.469444462758645,0.290051417412821,0.469444462758645,0.179393045345824,0.7375,0.7375,0.7375,0
"millionaire-element","unrelated",NA,0.35975359935551,0.585893743554967,0.226140144199457,NA,0.6655,0.746,0.0805
"worm-snake","related",0.554943753219846,0.308363085063262,0.554943753219846,0.246580668156584,0.6595,0.607,0.6595,0.0525
"double-triple","related",0.560368187900196,0.343167325361961,0.560368187900196,0.217200862538235,0.8055,0.643,0.8055,0.1625
"article-newspaper","related",0.46296835680957,0.280554127963678,0.46296835680957,0.182414228845892,0.75,0.6775,0.75,0.0725
"wind-storm","related",0.54222826998574,0.31305078988704,0.54222826998574,0.2291774800987,0.833,0.833,0.833,0
"tablet-fuel","unrelated",NA,0.316186627163074,0.605300581450872,0.289113954287798,NA,0.775,0.875,0.1
"sunset-thank","unrelated",NA,0.216283657514783,0.513049007313133,0.29676534979835,NA,0.7975,0.7975,0
"queen-soda","unrelated",NA,0.317395761718871,0.49875726405833,0.181361502339459,NA,0.761,0.811,0.05
"detonator-timer","related",0.35943523514593,0.123057924483645,0.35943523514593,0.236377310662285,0.697,0.697,0.697,0
"make-servant","unrelated",NA,0.32606134264696,0.59691693813741,0.27085559549045,NA,0.5385,0.6175,0.079
